SA4_NAME16,GCC_NAME16,AREASQKM16,Latitude,Longitude
Brisbane - East,Greater Brisbane,653.1326,153.158,-27.463
Brisbane - North,Greater Brisbane,186.949,153.026,-27.315
Brisbane - South,Greater Brisbane,265.3446,153.038,-27.574
Brisbane - West,Greater Brisbane,269.6511,152.867,-27.443
Brisbane Inner City,Greater Brisbane,81.7394,153.02,-27.447
Moreton Bay - North,Greater Brisbane,4344.4565,152.321,-26.9
Moreton Bay - South,Greater Brisbane,773.3949,152.783,-27.192
Queensland - Outback,Rest of Qld,1183182.72,139.8,-19.4
